# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\BilberryPI\Hardware\ALU.csv
# Generated on: Sun Jan 01 23:47:31 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
B,Output,PIN_104,6,B6_N0,PIN_104,3.3-V LVTTL,,maximum current,,,
G,Output,PIN_105,6,B6_N0,PIN_105,3.3-V LVTTL,,maximum current,,,
R,Output,PIN_106,6,B6_N0,PIN_106,3.3-V LVTTL,,maximum current,,,
clk,Input,PIN_23,1,B1_N0,PIN_23,2.5 V,,,,,
cs_sd,Output,PIN_28,2,B2_N0,PIN_28,3.0-V PCI-X,,maximum current,2,,
hsync,Output,PIN_101,6,B6_N0,PIN_101,3.3-V LVTTL,,maximum current,,,
kin1,Input,PIN_88,5,B5_N0,PIN_88,2.5 V,,,,,
kin2,Input,PIN_89,5,B5_N0,PIN_89,2.5 V,,,,,
kin3,Input,PIN_90,6,B6_N0,PIN_90,2.5 V,,,,,
kin4,Input,PIN_91,6,B6_N0,PIN_91,2.5 V,,,,,
krst,Input,PIN_25,2,B2_N0,PIN_25,2.5 V,,,,,
led[3],Output,PIN_84,5,B5_N0,PIN_84,2.5 V,,,,,
led[2],Output,PIN_85,5,B5_N0,PIN_85,2.5 V,,,,,
led[1],Output,PIN_86,5,B5_N0,PIN_86,2.5 V,,,,,
led[0],Output,PIN_87,5,B5_N0,PIN_87,2.5 V,,,,,
miso_sd,Output,PIN_31,2,B2_N0,PIN_31,3.0-V PCI-X,,maximum current,2,,
mosi_sd,Input,PIN_33,2,B2_N0,PIN_33,3.0-V PCI-X,,maximum current,,,
ps2clk,Input,PIN_119,7,B7_N0,PIN_119,2.5 V,,,,,
ps2data,Input,PIN_120,7,B7_N0,PIN_120,2.5 V,,,,,
sck_sd,Output,PIN_38,3,B3_N0,PIN_38,3.0-V PCI-X,,maximum current,2,,
sound[7],Output,PIN_64,4,B4_N0,PIN_64,2.5 V,,,,,
sound[6],Output,PIN_66,4,B4_N0,PIN_66,2.5 V,,,,,
sound[5],Output,PIN_68,4,B4_N0,PIN_68,2.5 V,,,,,
sound[4],Output,PIN_70,4,B4_N0,PIN_70,2.5 V,,,,,
sound[3],Output,PIN_72,4,B4_N0,PIN_72,2.5 V,,,,,
sound[2],Output,PIN_74,5,B5_N0,PIN_74,2.5 V,,,,,
sound[1],Output,PIN_76,5,B5_N0,PIN_76,2.5 V,,,,,
sound[0],Output,PIN_80,5,B5_N0,PIN_80,2.5 V,,,,,
vsync,Output,PIN_103,6,B6_N0,PIN_103,3.3-V LVTTL,,maximum current,,,
